map_0901#1197	まずは豆知識から:
map_0901#1506	これが初めてボクの名前を聞くってこと、結構高い確率であると思う、コミュニティにはあんまり関わってないから。
map_0901#1507	関わりたいと思うこともあるけど、そういうのが自然にできるタイプじゃないんだ。
map_0901#1508	新しいコミュニティや友達グループに出会うのはいつも怖いことだし、状況が整ってないと、ボクからは大した言葉は出てこないよ。
map_0901#1509	新しい学校とかパーティーに行く時とか、あなたもきっと何度かそういう感覚を味わったことあると思う。
map_0901#1510	特に会話を始める時ね。誰かに聞かれない限り、自分のことなんて絶対に話さない。まあ、これを数えなければの話だけど。
map_0901#1511	でも大抵はあんまり気にしすぎないようにしてる、そういうのを気にするのはボクらしくないし、最終的にはそれを受け入れられるから。
map_0901#1512	とにかく、ボクについてのもう一つのことは、音楽が大好きだってこと!
map_0901#1513	家に一人でいる時は、大抵ヘッドホンをつけてる。別に音楽の趣味が特別洗練されてるわけじゃないけど。
map_0901#1514	たぶんこれ以上ないくらいベーシックな趣味だと思うけど、それでも十分楽しんでる。
map_0901#1515	四天王とチャンピオン戦の曲とかね。あの二曲は絶対的な名曲。まだ聞いたことなければ、絶対聞いてみて。
map_0901#1516	それ以外だと、自分のことをすごいと思う日と、自分にがっかりする日の間を、いつも行ったり来たりしてる感じ。
map_0901#1517	ある日はテンションが上がって、自分のことをすごく良く思える。
map_0901#1518	別の日は、健康的な生き方をして、誇りに思える自分でいようとするのに、無力感を覚える。
map_0901#1519	友達の様子を確認したり、2日後には覚えてすらいないようなことに一日を溶かしたりしないようにね。
map_0901#1520	それでも、だんだん上手くなってきてるんだ!
map_0901#1521	だから、まあ人生ってそういうものだよね。コツをつかみつつあるところ。
map_0901#1522	ペリー: この選択肢を選んだのは失敗だったかな。だからこれはボクのただの取り留めのない考え、意識の流れってやつになるよ、その言葉に馴染みがあれば。
map_0901#1523	このゲームは本当に大好きで、ボクの人生に大きな影響を与えてくれた。
map_0901#1524	開発を手伝うのはすごくいい気分で、初めて自分がもっと大きな何かに貢献してるって感じられる。
map_0901#1525	それにそれが生産的な感覚にもなるっていうのが、すごいことなんだ。
map_0901#1526	ボクはセリフを書くのがほぼ最後の方になったから、みんなが何を言ったか知ってるっていう有利さがある。
map_0901#1527	ヴルペスが、リボーンに貢献することについてのボクの気持ちを、本当にうまく言い当ててくれてたよ。
map_0901#1528	ボクはそんなに文章が得意じゃないから、自分の気持ちをもっとうまく言い表してる人がいたら、喜んでそっちを指し示すよ。
map_0901#1529	この部屋には才能ある書き手がたくさんいるからね。それも当然で、みんなボクらが大好きなリボーンの物語に、それぞれ貢献してるんだから。
map_0901#1530	一番好きなシーンの一つは、タカと一緒に砂漠を歩いたことだった。
map_0901#1531	タカがこのゲームで一番セリフが多いキャラだって知ってた? 少なくとも、「タカ:」っていうテキストは、他のどの「キャラ名:」よりも1.5倍多く出てくるんだ。
map_0901#1532	アジーがそれについて本当に素敵な小説を書いてたよ、ぜひ読んでみて!
map_0901#1533	うん、今でもこのゲームに夢中だよ。でも今は、他のみんなが注いだ労力を、以前よりずっと大事に思えるようになった。
map_0901#1534	不思議なもので、実はもうそんなにゲームをやらなくなったんだ。この5年で合計3本くらいしかプレイしてないと思う。
map_0901#1535	代わりにファンフィクションの世界にどっぷりハマっちゃったからかな。学校でそれが「読んだ本」に数えてくれたらいいのに。
map_0901#1536	まあとにかく、たぶんもうXボタンを押しっぱなしにしてこのセリフを飛ばそうとしてると思うから、この苦しみを終わらせるね。
map_0901#1537	楽しんできてね!
map_0901#1538	ペリー: よし、またね。
map_0901#1539	他のみんなとも話してみて、すごくいい人たちだから!
map_0901#1540	アジー: どうも!
map_0901#1541	立ち寄ってくれてありがとう!
map_0901#1542	リボーンを楽しんでもらえてたらいいな!
map_0901#1543	このゲームは本当にたくさんの人にとって大きな意味を持ってるから、最後までやり抜いてくれて本当に嬉しい。
map_0901#1544	この先にもまだまだ素敵なものが待ってるよ、それだけは言っておく。
map_0901#1545	何か特に話したいことある?
map_0901#1546	アジー: リボーンについて話すの、好きなんだ!
